"lipid","log2FC","minus_log10_pvalue"
"SM(44:1)",0.744576915107608,0.555955204081924
"FA(17:0)",0.868375577132042,0.87942606879415
"HexCer(42:1)",-1.52933281868491,0.876148359032914
"PC(O-42:7)",-0.369911644902956,0.191789027075778
"PC(40:0)",-0.440074161406443,0.278189384787453
"HexCer(42:0)",-1.59620254204806,1.19791074211827
"PI(40:8)",1.36390056173619,1.02410886359821
"PC(41:6)",0.267575605503747,0.220403508742175
"PC(O-42:6)",-0.707129995031828,0.393618634889395
"PC(O-42:6)",-0.29078475533402,0.20551195334083
"PI(40:7)",1.71561452993188,1.53313237964589
"PC(O-42:5)",-0.620127774582247,0.349692476868064
"PI(40:6)",-0.312902996643267,0.187755303199631
"SHexCer(43:6)",0.359553870864257,0.308918507877032
"PC(O-42:4)",-0.736859303117448,0.336299074610352
"PI(40:5)",-0.870669647907086,0.677780705266081
"PI(40:5)",0.181252108811563,0.198596289982645
"PC(42:10)",-0.194545407870411,0.178486471595227
"PC(O-42:3)",-0.591038054562734,0.287350298372789
"PI(40:4)",0.2255476262252,0.139661993429006
"PI(40:4)",-0.243673775428665,0.219682687859849
"PC(42:9)",0.771092590567442,0.812479279163537
"PC(41:2)",-0.937829322818214,0.609064892896621
"PC(O-42:2)",-0.522411800486822,0.24184537803261
"PC(42:8)",1.57698136521679,1.41116827440579
"FA(16:0)",0.888200642981328,0.701146923590293
"Hex2Cer(34:2)",0.1325928795614,0.0486624812040823
"PC(42:7)",0.785835750781427,0.730487055782084
"PC(42:6)",0.0562426654117019,0.0268721464003014
"PC(42:5)",0.733684898679414,0.462180904926726
"DLCL(36:4)",2.49164874914365,1.49214412830417
"PC(42:4)",-0.813377661378293,0.562249437179612
"PC(42:4)",0.194113925261906,0.0996328713435297
"DLCL(36:3)",1.31342999582569,0.943095148663527
"PC(42:3)",-0.211740225474816,0.118615343229427
"PC(42:2)",-0.517709325467983,0.304518323509803
"PC(O-44:8)",-0.501624306081187,0.257274868695302
"PC(42:1)",0.0862964188161932,0.0501222959631252
"PC(O-44:7)",-0.529348824841527,0.30715308072277
"PC(O-44:6)",-0.255673046443565,0.151810883008601
"PC(O-44:6)",-0.347344281212955,0.133712660915805
"PC(O-44:5)",-0.470084737797531,0.255707016877324
"PC(O-44:4)",-0.447302062086482,0.188424994129407
"FA(18:4)",0.446831792911954,0.408935392973501
"PC(44:6)",-0.803280731796818,0.438898616350944
"PC(44:6)",-0.0238534797803389,0.0118871597316481
"FA(18:3)",-0.0240328843043969,0.0154726866562074
"PC(44:5)",-0.347232364553342,0.247951552180562
"PC(44:4)",-0.508180672634001,0.341988603342888
"PC(44:2)",-1.12264167149394,0.835647144215563
"FA(18:2)",0.7898224739474,0.97469413473523
"PC(46:7)",0.0360849934971199,0.0172766123314547
"PC(46:6)",-0.431281324382923,0.213248577854439
"PC(46:4)",-0.617951250696311,0.302770657240282
"Cer(66:14)",-1.72328018673344,1.31069114087638
"FA(18:1)",1.05101817129685,1.19586056766465
"Cer(68:16)",-0.698802147255812,0.469800301796918
"Cer(68:14)",-2.39156812729768,1.21681130892474
"SM(52:3)",0.064898778041421,0.0204516252959049
"Hex2Cer(42:2)",1.4268859979613,0.860120913598763
"Hex2Cer(42:1)",1.74509806173518,0.882728704344236
"FA(18:0)",0.640906438495175,0.667561540084395
"Hex3Cer(34:1)",0.2997520965021,0.161780778092374
"SM(56:2)",0.377464055155176,0.119186407719209
"SM(58:4)",0.78729600514929,0.440093374963888
"SM(58:3)",0.379287475335463,0.154901959985743
"SM(58:2)",0.117805510669182,0.048176964684088
"FA(16:1)",2.03600484637326,2.34198860334289
"SM(60:5)",0.252034537297003,0.102372908709559
"SM(60:4)",0.202192307873364,0.0963674839157623
"SM(60:3)",0.044930782598211,0.0177287669604316
"GM3(34:1)",-0.123773148239316,0.0644927341752872
"FA(19:4)",1.12689073765881,0.872895201635192
"FA(19:3)",1.27580401136536,0.96657624451305
"CL(72:8)",0.505103074934498,0.337242168318426
"FA(19:2)",1.40663817388138,1.3777859770337
"FA(18:2)",-1.06907761578002,0.742321425130815
"FA(19:1)",1.71259691370692,1.52724355068279
"FA(19:0)",0.783514618599664,0.632644078973981
"FA(20:5)",1.14090906140401,1.00921730819686
"FA(20:4)",0.903974820449509,0.767003889607846
"FA(20:3)",1.00358429949589,0.892790030352132
"FA(20:2)",1.49621487341594,1.38195190328791
"FA(20:1)",1.18348984974206,0.860120913598763
"FA(18:2)",-0.292554018553226,0.218963061378868
"FA(20:0)",0.333302302226343,0.266000713461613
"FA(20:5)",2.64191985713803,0.882728704344236
"FA(21:4)",0.808289823228446,0.54821356447571
"FA(20:4)",4.5928155374936,1.66554624884907
"FA(21:1)",1.1491592276071,0.774690718274137
"FA(21:0)",-0.0926305512806138,0.0565054840938974
"FA(22:6)",1.4035914207103,1.28903688100472
"FA(22:5)",1.17903401590159,0.913640169325252
"FA(22:5)",1.54313270333588,1.36653154442041
"FA(22:4)",1.5511606600393,1.33913452199613
"NATau(14:1)",3.88634253030218,1.37986394502624
"FA(22:3)",1.1693520495093,0.886056647693163
"FA(22:3)",1.09833756394464,1.00700490156866
"FA(20:4)",1.93494655696862,1.18775530319963
"FA(22:2)",1.80939738520503,1.35261702988538
"FA(22:1)",0.953100249264885,0.581698708680255
"FA(13:1)",1.54610758396326,0.896196279044043
"FA(22:0)",-0.334801293170859,0.283162276700476
"FA(20:1)",-0.610281752600699,0.559090917934782
"FA(22:6)",4.38472749898968,1.83863199776503
"FA(22:5)",1.34852657818666,1.04914854111145
"FA(23:1)",0.250157500127042,0.104577453960592
"FA(23:0)",-0.449938270496361,0.442492798094342
"FA(24:6)",1.02290524110532,0.954677021213343
"FA(24:5)",2.80046699290804,1.95078197732982
"FA(24:5)",0.917547309257095,0.602059991327962
"FA(24:4)",2.10623018100236,1.47366072261016
"FA(24:2)",1.67296893502364,0.790484985457369
"FA(24:1)",0.898637798646231,0.452225294612177
"FA(22:2)",-2.09553390259601,0.913640169325252
"FA(24:0)",-0.333201789921283,0.342944147142896
"FA(22:1)",-2.26046380455661,2.33348201944512
"FA(25:1)",0.35039978969224,0.155522824254319
"FA(25:0)",-0.776271359319505,0.630784142589857
"FA(26:6)",1.83348050770605,1.78251605578609
"FA(26:5)",1.21125270074376,0.826813731587726
"NATau(18:2)",1.62715536893941,1.59687947882418
"FA(26:4)",1.69416650923302,0.928117992693875
"NATau(18:1)",2.54075949614408,2.42250820016277
"NATau(18:0)",1.53920547369516,1.1765257708297
"FA(26:2)",1.22420212980122,0.688246138944246
"FA(26:1)",0.351004196230082,0.148130399270234
"FA(26:0)",-0.681637640027756,0.596879478824182
"ST(24:1)",0.511797303768024,0.0867160982395816
"FA(27:0)",-0.576903954187188,0.651695136951839
"NATau(20:4)",1.7260327260847,1.35556141053216
"FA(28:1)",-0.486268701851731,0.223298816011589
"FA(28:0)",-0.60617368490837,0.747146969020107
"FA(28:6)",0.949278741044932,0.508638306165727
"NATau(22:6)",2.97387718558655,2.02365002099673
"LPE(O-16:1)",1.05673033136841,0.924453038607469
"FA(29:0)",-1.14206864385175,1.3829996588791
"FA(30:1)",-1.54253005902629,0.856985199745905
"LPE(16:1)",0.368145965767241,0.368556230986828
"FA(30:0)",-1.3174874395951,1.66554624884907
"LPE(16:0)",-0.0712219591671932,0.039529222465701
"FA(31:1)",-2.80572383612341,0.962573502059376
"LPE(O-18:1)",0.764540535672673,0.518557371497695
"ST(27:1)",0.0710780584179744,0.0362121726544447
