"lipid_name","log_2_foldchange","neg_log10_p_value","lipid_class"
"PC(38:3)",-0.727407290946978,1.94309514866353,"PC"
"PC(38:4)",-0.733466121059671,1.85078088734462,"PC"
"PC(38:5)",-0.54850371563197,1.61618463401957,"PC"
"PC(38:6)",0.25815196272249,1.5543957967264,"PC"
"PC(38:7)",-1.40129737433491,1.57511836336893,"PC"
"PC(39:3)",-0.2624859731717,0.338187314462739,"non-sig"
"PC(39:4)",-1.0448194284377,1.00217691925427,"non-sig"
"PC(39:5)",-0.81668285297755,1.23210238398191,"non-sig"
"PC(39:6)",-0.610970738827188,1.31336373073771,"PC"
"PC(39:7)",-0.647898514314658,1.44249279809434,"PC"
"PC(40:0)",-1.1283736994832,1.50307035192679,"PC"
"PC(40:1)",-1.30609468429596,2.19928292171761,"PC"
"PC(40:2)",-0.92891589215327,1.32882715728492,"PC"
"PC(40:4)",-1.16897922524812,1.47625353318844,"PC"
"PC(40:5)",-0.782480855097425,2.32790214206428,"PC"
"PC(40:6)",-1.09017178324769,2.37468754903833,"PC"
"PC(40:7)",-0.663566889342359,1.65364702554936,"PC"
"PC(41:2)",-0.43235856609256,0.512861624522813,"non-sig"
"PC(41:6)",-0.770610513724321,1.07365755337434,"non-sig"
"PC(41:7)",-0.456474514979622,0.549750891680639,"non-sig"
"PC(42:1)",-0.716209443705118,1.09044397075882,"non-sig"
"PC(42:10)",-0.553568556775701,1.01818139282934,"non-sig"
"PC(42:2)",-0.706830762879495,1.32975414692588,"PC"
"PC(42:3)",-1.19167678403952,0.531652669587843,"non-sig"
"PC(42:4)",-1.4921406012868,1.41341269532825,"PC"
"PC(42:5)",-1.00021354939735,1.8153085691824,"PC"
"PC(42:7)",-0.460099031484322,0.815308569182401,"non-sig"
"PC(42:8)",0.0463590313146582,0.045275209020937,"non-sig"
"PC(42:9)",0.609964868236535,0.52432881167557,"non-sig"
"PC(44:12)",0.258831699355859,0.787812395596042,"non-sig"
"PC(44:4)",-1.26997499701125,1.23284413391782,"non-sig"
"PC(44:5)",-1.06658878349515,0.978810700930062,"non-sig"
"PC(O-31:0)",0.322687019647162,0.211124884224583,"non-sig"
"PC(O-32:0)",-0.838660592453625,0.931814138253838,"non-sig"
"PC(O-32:1)",-0.688253345245762,0.962573502059376,"non-sig"
"PC(O-32:3)",-1.07950338910745,0.714442690992226,"non-sig"
"PC(O-33:1)",0.188467840094511,0.31069114087638,"non-sig"
"PC(O-33:2)",-0.187780142386597,0.128427064454121,"non-sig"
"PC(O-34:0)",-1.28121665242312,0.962573502059376,"non-sig"
"PC(O-34:2)",-0.219258670892419,0.236572006437063,"non-sig"
"PC(O-34:3)",-0.806699053546705,0.769551078621726,"non-sig"
"PC(O-34:4)",-0.470504399709245,0.228412519118745,"non-sig"
"PC(O-36:0)",-1.74732555728887,1,"non-sig"
"PC(O-36:1)",-1.63246005972087,1.2298847052129,"non-sig"
"PC(O-36:2)",-1.49511588602019,1.04431224968649,"non-sig"
"PC(O-36:3)",0.377313039002193,0.739928612014925,"non-sig"
"PC(O-36:4)",-0.558735862358219,0.405607449624573,"non-sig"
