"lipid","T_stat_human","T_stat_mouse"
"PC(46:6)",-4.79982617035746,-0.540731774995273
"PC(46:7)",-2.45357158816814,-2.93319608559534
"PC(O-30:0)",-4.11282479981723,-0.980528845419176
"PC(O-30:1)",-7.16512289174131,-1.36980251160223
"PC(O-31:0)",-2.560954743739,-1.31946667821466
"PC(O-31:2)",-0.521128410014113,-0.889807002089487
"PC(O-32:0)",3.209861963301,1.67117559941122
"PC(O-32:1)",-3.97037957029944,1.39049967303901
"PC(O-32:2)",-3.40053338214431,-3.62550761835635
"PC(O-32:3)",-7.64521778572489,-2.37945978286077
"PC(O-33:0)",-1.21912622150612,-1.57729613110903
"PC(O-33:1)",1.29765266426613,-2.80344908287001
"PC(O-33:2)",-7.11181432916974,-4.00480090854036
"PC(O-34:0)",-2.29189541317156,-1.82697836588632
"PC(O-34:1)",2.93601265855655,-1.63875548981521
"PC(O-34:2)",-6.80215075418574,-1.45176519124244
"PC(O-34:3)",-9.21088522597906,-3.02142059607191
"PC(O-34:4)",-8.74838965360687,-3.97355320254266
"PC(O-35:2)",1.41830382510344,-3.17557250969745
"PC(O-35:4)",-7.57198564620107,-4.10573460659667
"PC(O-36:0)",-7.75226547469252,-3.54559712987669
"PC(O-36:1)",2.45393258153582,-3.45207206556331
"PC(O-36:2)",-0.197142739200478,-3.62970838851654
"PC(O-36:3)",-4.77330970406681,1.59197546775389
"PC(O-36:4)",-7.05732923862458,-1.58667546253972
"PC(O-36:5)",-4.33749695094912,-2.31826191798199
"PC(O-36:6)",-3.01714442553175,-2.11608631569043
"PC(O-38:0)",-6.28053614642368,-3.64224028332454
"PC(O-38:1)",-2.20488588674708,-1.25862479908007
"PC(O-38:2)",-0.453128861435598,-3.53183092919595
"PC(O-38:3)",-4.83590842609961,-2.38292992967536
"PC(O-38:4)",-2.95339121235648,-3.33341511277422
"PC(O-38:5)",-4.12282486340658,-1.40500838156526
"PC(O-38:6)",-5.80865261647491,-1.91028054305819
"PC(O-38:7)",-3.57229946806232,-2.09905668315292
"PC(O-39:4)",2.46876083176593,-3.50721030743719
"PC(O-39:6)",0.580633092800258,-1.49556947325267
"PC(O-40:1)",-2.15329048194053,-3.28018604878738
"PC(O-40:2)",-2.53020551624851,-3.3097785223584
"PC(O-40:3)",-2.8015636208525,-3.9495237822952
"PC(O-40:4)",-1.93966175962731,-3.5186562466472
"PC(O-40:5)",-1.08533193697201,-3.22002287164468
"PC(O-40:6)",-3.73790873886585,-1.72414469292906
"PC(O-40:7)",-3.57020598695391,-1.82619448867423
"PC(O-40:8)",-4.07585222292046,-2.14024844618365
"PC(O-41:3)",-0.284473068900614,-3.19307502182418
"PC(O-41:4)",-2.68637719994283,-3.57241490304388
"PC(O-41:6)",0.112333276528248,-2.75580442838731
"PC(O-42:1)",-2.85664261667195,-2.85259118625748
"PC(O-42:2)",-3.64507313266067,-2.91127329058053
"PC(O-42:3)",-4.70276009797018,-3.37035306778442
"PC(O-42:4)",-4.39872869601067,-3.17797451213983
"PC(O-42:5)",-1.1449583915625,-3.33890474128229
"PC(O-42:6)",-3.67324894143137,-3.03648483651241
"PC(O-42:7)",-2.06893492968122,-2.53459310550485
"PC(O-42:8)",-1.93918782106253,-1.57360433500516
"PC(O-43:5)",-1.91366800060826,-3.43909731731507
"PC(O-44:3)",-4.22501381416697,-2.56189920477342
"PC(O-44:4)",-4.07982033803304,-2.86836287420674
"PC(O-44:5)",-2.70253403177036,-3.14008248807008
"PC(O-44:6)",-4.41067545144899,-2.88612138932928
"PC(O-44:7)",-1.41835713932348,-3.16988839380352
"PC(O-44:8)",-1.96758035636194,-2.89972701360573
"PC(O-46:7)",-2.02944606229636,-2.67481309787157
"PC(O-46:8)",-2.14029964570354,-2.29334352474386
"PE(32:0)",3.21108047415931,0.839709228180805
"PE(32:1)",5.08483950219295,0.918729354008615
"PE(33:1)",2.09717691778993,1.18492682203237
"PE(33:2)",-2.90934058983517,0.883316973858027
"PE(34:0)",-0.377102458048685,-1.44569228228807
"PE(34:1)",9.04073232924297,-1.07683826745259
"PE(34:2)",5.29013657394378,1.83654730070364
"PE(34:3)",1.84198868298739,4.69004776540973
"PE(35:2)",0.188734241002373,-1.28118571839393
"PE(36:1)",3.83705929420689,-2.85985605557731
"PE(36:2)",0.442043237598717,-1.36625089648322
"PE(36:3)",-1.24253909130976,2.21356216877421
"PE(36:4)",6.09796356508887,1.9639539099958
"PE(36:5)",-0.049488058787036,1.73583856436087
"PE(37:2)",2.39843820590031,-2.95307409363654
"PE(37:4)",1.88284032643589,1.71203806071882
"PE(37:5)",-4.51834020286233,1.48673262586404
"PE(37:6)",-5.36895351279965,1.04449553313517
"PE(38:1)",-2.98104576944103,-2.35710524712496
"PE(38:2)",-2.88766152480843,-0.911962329128049
"PE(38:3)",0.426327260638534,-1.45296710421754
"PE(38:4)",3.86889622515961,1.80088473030633
"PE(38:5)",0.81548576761927,2.12409634734619
"PE(38:6)",7.61718731936149,2.92485784101793
"PE(38:7)",6.70928880279457,2.45214485911096
"PE(39:4)",1.43228386544473,-1.64827550069004
"PE(39:6)",1.0335995365394,1.41920673139319
"PE(40:4)",-3.94984961158878,3.28481866590872
"PE(40:5)",2.58118104356151,2.41393493240537
"PE(40:6)",6.51660547560193,1.71540491814773
"PE(40:7)",3.66803776942988,2.48485120166883
"PE(40:8)",-2.40555730054376,4.59787555691719
"PE(41:6)",-4.78247658054723,-1.27617212932893
"PE(42:10)",-4.67366331888377,2.40101125627883
"PE(42:7)",-0.647010483246333,2.41581270845994
"PE(42:8)",-1.35971913968635,2.99690097297805
"PE(O-32:3)",-4.71182497862221,-1.60129584824798
"PE(O-34:0)",-6.11825236405927,-2.07303543058775
"PE(O-34:1)",-5.84701446586842,3.79606399754377
"PE(O-34:2)",-8.07246325951454,-0.0203340108192327
"PE(O-34:3)",-11.385718559127,-1.44972816569342
"PE(O-34:4)",-10.7113917869831,-2.51793188728996
"PE(O-34:5)",-8.27335583084725,-2.26884618062663
"PE(O-35:5)",-8.01375894564103,-0.669422116393834
"PE(O-36:1)",5.10683793979188,-2.06268971563557
"PE(O-36:2)",-3.83750073450633,-2.60565796437788
"PE(O-36:3)",-10.2224542976642,-2.27597765666165
"PE(O-36:5)",-13.2556747201218,-1.60780413148811
"PE(O-36:6)",-4.44134921385807,0.11567028657622
"PE(O-36:7)",-4.4388569684881,-0.480793407050861
"PE(O-37:1)",3.70288449275528,-1.55390130897174
"PE(O-37:2)",-1.89168876006173,-2.00154333261391
"PE(O-37:5)",-11.3781494702963,-0.63625893261238
"PE(O-37:6)",-5.10236046830133,-2.44533945400883
"PE(O-37:7)",-7.17148048802864,0.46787088796888
"PE(O-38:1)",1.91515421027089,-1.36623086332294
"PE(O-38:2)",-6.78962308939915,-1.68085016486718
"PE(O-38:3)",-8.74564636738865,-1.54885710505967
"PE(O-38:4)",-11.4111338717419,-2.10315399843591
"PE(O-38:5)",-14.2832043109806,-1.55486355585386
"PE(O-38:6)",-11.1460239721617,-4.12853579543034
"PE(O-38:7)",-5.47797630767005,-1.02698778560843
"PE(O-39:2)",4.31429170948556,-1.64489603134246
"PE(O-39:4)",-2.04986698140887,-1.59279935534117
"PE(O-39:5)",-10.7287135097653,-1.06158573808401
"PE(O-39:6)",-8.65398747997978,-2.28994056954904
"PE(O-39:7)",-5.07601532334345,-0.409728012066619
"PE(O-39:8)",-5.05485792305981,1.06585331205291
"PE(O-40:2)",-4.37581094975424,-1.42551064811573
"PE(O-40:3)",-4.37344856251538,-1.88732728310645
"PE(O-40:4)",-1.45793492942506,-1.77784767211382
"PE(O-40:5)",-9.66972727382785,-1.83146574301274
"PE(O-40:6)",-9.37863236169609,-2.01757389448612
"PE(O-40:7)",-6.86752941515227,-1.08365676225801
"PE(O-40:8)",-5.20844655192162,0.00531455869568167
"PE(O-40:9)",-5.67256538699697,0.565615495984219
"PE(O-41:4)",-0.320351305166792,-1.73175859758714
"PE(O-41:6)",7.52530897490453,-1.47693498748205
"PE(O-41:7)",-5.04922177591622,-0.437553496467891
"PE(O-42:2)",-2.0526102125858,-1.33665230349602
"PE(O-42:3)",-3.12637626622588,-1.54442757653381
"PE(O-42:4)",-3.00454248696135,-1.61216141796715
"PE(O-42:5)",-7.96583354488728,-1.59769391243975
"PE(O-42:6)",-5.92010651883475,-1.240646936382
